model,val,imagenetv2-matched-frequency-format-val,imagenetv2-threshold-0.7-format-val,imagenetv2-top-images-format-val,imagenet-vid-robust_pm0,imagenet-vid-robust_pm10,stylized_imagenet,greyscale,imagenet-a,val-on-vid-robust-classes,ytbb-robust_pm0,ytbb-robust_pm10,val-on-ytbb-robust-classes,objectnet-1.0-beta,val-on-objectnet-classes,val-on-imagenet-a-classes,imagenet-sketch,imagenet-r,val-on-imagenet-r-classes,pgd.linf.eps0.5,pgd.linf.eps2,pgd.l2.eps0.1,pgd.l2.eps0.5,brightness_in-memory,defocus_blur_in-memory,impulse_noise_on-disk,snow_on-disk,brightness_on-disk,elastic_transform_in-memory,jpeg_compression_on-disk,defocus_blur_on-disk,gaussian_blur_on-disk,gaussian_noise_in-memory,shot_noise_in-memory,fog_on-disk,frost_in-memory,zoom_blur_on-disk,fog_in-memory,jpeg_compression_in-memory,impulse_noise_in-memory,glass_blur_on-disk,speckle_noise_on-disk,elastic_transform_on-disk,pixelate_in-memory,snow_in-memory,motion_blur_on-disk,shot_noise_on-disk,gaussian_blur_in-memory,saturate_in-memory,gaussian_noise_on-disk,frost_on-disk,spatter_in-memory,contrast_in-memory,speckle_noise_in-memory,saturate_on-disk,zoom_blur_in-memory,motion_blur_in-memory,contrast_on-disk,spatter_on-disk,pixelate_on-disk,avg_corruptions,avg_pgd
efficientnet-b6-advprop-autoaug,84.76000213623047,75.52999877929688,82.56999969482422,85.95999908447266,82.77727682596934,72.49774571686204,43.5420036315918,82.14000701904297,42.253334045410156,99.54166666666666,67.7832512315271,58.9655172413793,99.4978354978355,50.15123690180404,88.44800567626953,97.1199951171875,41.311485290527344,53.63666915893555,96.2699966430664,62.13999938964844,17.920000076293945,80.18000030517578,42.439998626708984,83.36600341796876,75.79840393066407,58.9116024017334,59.28920288085938,79.96200408935547,75.56320419311524,74.74920501708985,52.881201934814456,55.35080337524414,77.28240203857422,77.4300048828125,66.55360260009766,66.98560256958008,53.335201263427734,80.21240234375,82.30320587158204,75.53040466308593,39.46120262145996,67.17200469970703,60.07040214538574,82.27720489501954,68.74400329589844,57.71440391540527,58.682803344726565,76.05000381469726,82.85160369873047,59.53800239562988,58.23520202636719,79.43400421142579,70.06960372924804,80.23240509033204,79.31560363769532,56.0484016418457,79.2708023071289,56.68320293426514,73.79440460205078,70.54720458984374,68.65074199285264,50.66999959945679
efficientnet-b7-randaug,84.72600555419922,74.83999633789062,82.3499984741211,85.90999603271484,80.6131650135257,69.61226330027051,43.1400032043457,81.39400482177734,42.47999954223633,99.51388888888889,66.60098522167488,56.65024630541872,99.46320346320347,52.50081019768824,87.7760009765625,96.9000015258789,40.875240325927734,52.333335876464844,96.5,39.0,10.300000190734863,72.31999969482422,,83.43560485839843,77.25520324707031,63.7920036315918,59.27440414428711,79.24480285644532,74.90640411376953,74.34280395507812,55.11320343017578,57.148003005981444,76.14520263671875,77.4696029663086,66.21640396118164,68.12120208740234,55.49240341186523,79.65320434570313,82.01000213623047,76.45520477294922,34.62280197143555,68.30480346679687,58.578802490234374,81.94800567626953,68.34480285644531,60.28280181884766,63.2296028137207,76.47280426025391,82.58120422363281,64.0568016052246,58.99720306396485,79.38200378417969,71.05440368652344,80.22560272216796,78.30400390625,56.249603271484375,80.2300033569336,58.0196029663086,73.7072021484375,70.52800216674805,69.12127512418306,
efficientnet-b7-autoaug,84.3340072631836,74.52999877929688,81.37999725341797,85.08000183105469,77.81785392245266,65.19386834986474,33.23200225830078,80.3080062866211,39.69333267211914,99.5,64.77832512315271,54.285714285714285,99.47186147186147,49.638111699254615,87.10400390625,96.58999633789062,31.865434646606445,46.060001373291016,96.02999877929688,34.68000030517578,9.279999732971191,67.13999938964844,,82.36080169677734,71.67720413208008,53.137203216552734,47.300801849365236,77.064404296875,70.68560333251953,68.24120483398437,44.75920104980469,47.90880184173584,72.02520217895508,72.30680389404297,60.88760223388672,57.12960357666016,44.92080192565918,79.22360229492188,80.39920349121094,70.87120361328125,25.75360131263733,59.38880386352539,52.018803405761716,81.00760345458984,58.697201538085935,47.93320236206055,50.33640327453613,71.48280410766601,81.42120361328125,51.60200157165527,47.02000198364258,77.80480346679687,67.40200386047363,76.54280395507813,75.45040435791016,47.50880165100098,77.31200561523437,48.86160297393799,69.3628028869629,66.86160278320312,62.77455692413523,
efficientnet-b5-advprop-autoaug,84.302001953125,74.68000030517578,81.90999603271484,85.45999908447266,80.25247971145177,70.60414788097385,45.022003173828125,81.4020004272461,36.0533332824707,99.50694444444444,65.91133004926108,57.73399014778325,99.44588744588745,49.96759209247056,87.7760009765625,96.72999572753906,41.83615493774414,54.08000183105469,96.13999938964844,62.34000015258789,14.979999542236328,80.55999755859375,42.81999969482422,82.85120391845703,72.28240356445312,57.85160331726074,58.980403137207034,79.27320251464843,74.4984031677246,74.1040023803711,52.469604110717775,53.735601806640624,74.56560440063477,74.95120391845703,64.5384033203125,65.97160339355469,54.78720245361328,76.49800415039063,81.36120147705078,73.65680236816407,41.14080238342285,67.29080276489258,60.62360305786133,80.88480377197266,67.60120391845703,57.76200218200684,57.79960289001465,72.36080398559571,82.31600341796874,58.6444034576416,58.04840316772461,78.51600646972656,69.05280456542968,78.83680419921875,78.62040405273437,57.890402221679686,77.0916030883789,56.10360260009766,72.34320297241212,70.91440353393554,67.76005450517705,50.17499923706055
resnext101_32x8d_swsl,84.29400634765625,75.33999633789062,82.75,85.47999572753906,83.31830477908025,68.62037871956717,37.92400360107422,79.46000671386719,51.22666931152344,99.52083333333334,68.66995073891626,55.66502463054187,99.44588744588745,56.32494328616182,88.11200714111328,97.19999694824219,56.43459701538086,75.59000396728516,96.23999786376953,15.09999942779541,9.34000015258789,55.37999725341797,13.079999923706055,81.97520446777344,61.46560287475586,53.88880233764648,54.02600173950195,78.71360321044922,58.57560348510742,68.56200485229492,56.3468017578125,58.3984016418457,59.772403717041016,58.24800262451172,66.57160186767578,61.22160263061524,51.560002136230466,76.5864044189453,70.31680374145508,55.74280281066895,39.609601211547854,62.00160293579101,56.86560249328613,72.15720291137696,61.39080276489258,57.293601989746094,55.61360244750976,64.25440292358398,80.22400360107422,57.146002197265624,57.01600341796875,70.19360275268555,77.53120269775391,64.25920181274414,75.99800415039063,57.05520172119141,62.87080307006836,63.41560363769531,67.89280395507812,71.54920349121093,63.17163376441368,23.22499918937683
vit_base_patch16_384,84.20000457763672,74.31999969482422,81.44999694824219,84.58000183105469,88.45807033363391,75.11271415689811,36.358001708984375,77.47000122070312,50.63999938964844,99.44444444444444,70.19704433497537,59.310344827586206,99.36796536796537,51.11807280976558,88.656005859375,96.70999908447266,38.1005744934082,50.88666915893555,96.18999481201172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
instagram-resnext101_32x16d,84.1760025024414,75.50999450683594,82.58000183105469,85.70999908447266,83.40847610459873,69.25157799819658,38.43000030517578,79.90800476074219,53.06666946411133,99.5,69.70443349753694,58.07881773399015,99.42857142857143,56.23312088149508,88.1760025024414,96.80999755859375,57.700096130371094,78.8499984741211,96.43999481201172,23.296001434326172,16.53999900817871,55.84000015258789,21.100000381469727,81.91840362548828,59.800802612304686,54.78480262756348,54.608802032470706,78.4612045288086,60.0220027923584,69.10520477294922,54.49000129699707,56.75840263366699,60.85920181274414,59.20000305175781,66.61360397338868,60.11600341796875,51.906002044677734,77.05120239257812,71.29240341186524,54.745602416992185,37.686400985717775,63.39240341186523,56.950001907348636,70.30560455322265,62.8796028137207,56.76480255126953,57.08120269775391,62.7744026184082,80.1300048828125,58.61920318603516,56.495602416992185,70.38440322875977,77.40000381469727,65.45560150146484,75.88360443115235,60.032003021240236,62.96880264282227,62.873202896118165,67.06480407714844,70.24960327148438,63.216997831295686,29.194000244140625
BiT-M-R50x3-ILSVRC2012,84.1500015258789,73.19999694824219,80.61000061035156,84.62999725341797,82.05590622182146,69.97294860234446,26.98600196838379,77.56200408935547,45.69333267211914,99.48611111111111,69.85221674876847,58.47290640394088,99.39393939393939,41.24446364913039,88.2080078125,96.97999572753906,33.74992752075195,47.900001525878906,96.20999908447266,,,,,80.67960357666016,65.18240280151367,53.27240257263183,47.04880294799805,72.65320129394532,62.07680244445801,65.12240142822266,43.40920143127441,46.35280094146729,68.34440307617187,67.91040267944337,56.4916015625,65.15160293579102,41.0012020111084,76.81320343017578,75.75240173339844,66.90960311889648,28.425200843811034,59.47840270996094,45.786801719665526,74.46000366210937,58.53000259399414,45.255201721191405,53.78480224609375,67.79880447387696,77.76800384521485,55.50480308532715,51.723602294921875,70.14760284423828,75.92480239868163,72.12640228271485,67.74320220947266,44.55160255432129,66.23560180664063,52.96840343475342,62.92400283813477,59.11520156860352,60.23006403018266,
efficientnet-b6-autoaug,84.12800598144531,74.06999969482422,81.54999542236328,84.93000030517578,79.53110910730388,67.53832281334536,34.99800109863281,80.18600463867188,36.69333267211914,99.47222222222221,65.07389162561577,54.43349753694581,99.46320346320347,50.199848763098196,87.31200408935547,96.66999816894531,34.701019287109375,47.92000198364258,96.25999450683594,37.439998626708984,8.880000114440918,69.77999877929688,21.079999923706055,82.11640167236328,72.39880447387695,53.3444019317627,51.197200775146484,77.80600280761719,69.90640258789062,69.2488021850586,46.06760215759277,49.50680236816406,72.26520309448242,72.56240158081054,61.57880401611328,57.57200241088867,45.725602340698245,79.34720306396484,79.92760467529297,71.88800430297852,27.898801422119142,60.30800323486328,53.86440200805664,80.10360412597656,60.14760284423828,50.713201904296874,50.612802505493164,72.92680358886719,81.19400329589844,51.90680351257324,49.47520294189453,77.58240203857422,66.34720230102539,76.65280303955078,76.36560363769532,45.93480224609375,76.19040374755859,50.43800163269043,70.14600524902343,66.96200332641601,63.42086437910031,34.29499936103821
FixPNASNet,83.69800567626953,73.36000061035156,80.86000061035156,84.6500015258789,78.53922452660053,63.66095581605049,29.700000762939453,78.38200378417969,32.82666778564453,99.4375,65.07389162561577,50.44334975369458,99.44588744588745,43.50221454034784,86.656005859375,96.38999938964844,31.49207305908203,42.423336029052734,96.00999450683594,15.09999942779541,7.619999885559082,58.87999725341797,9.59999942779541,80.94160308837891,70.0416030883789,47.28040237426758,46.67680130004883,74.82320251464844,66.95680313110351,64.4836036682129,44.40840110778809,47.007201957702634,68.81600341796874,68.11880264282226,61.05760269165039,58.755201721191405,46.35320129394531,76.71200408935547,77.51280212402344,67.09600372314453,28.34720096588135,55.33720321655274,50.44760322570801,80.37720489501953,59.96080322265625,43.30520191192627,47.46640205383301,68.82720413208008,77.85440216064453,49.448402404785156,50.19200210571289,72.0792022705078,79.82760467529297,72.07560501098632,71.12120361328125,50.46560211181641,70.72320327758788,59.7944034576416,64.29520187377929,65.7608024597168,61.3546078853118,22.799998998641968
